Dimension,Total Epochs,Current Epoch,Training Accuracy,Training Time, Validation Accuracy, Validation Time
1,1,1,0.43075,39.670642375946045,0.51125,1.5046555995941162
1,1,2,0.47625,39.63288450241089,0.455,1.4844815731048584
5,1,1,0.455875,38.72773551940918,0.535,1.3863484859466553
5,1,2,0.50225,38.60172915458679,0.5275,1.4114148616790771
10,1,1,0.46675,38.92768979072571,0.46875,1.4353632926940918
10,1,2,0.502875,39.12504172325134,0.49,1.4241738319396973
10,1,3,0.507875,39.108254194259644,0.54375,1.4578182697296143
10,1,4,0.511625,39.1537709236145,0.50375,1.4399139881134033
25,1,1,0.47625,41.32725477218628,0.57,1.551783800125122
25,1,2,0.50075,41.15316987037659,0.56,1.5388786792755127